Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
48510,2021-11-11,,Common frog,Young,unknown,Qty unknown,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48509,2021-12-15,19:19:00,Palmate newt,Tadpoles,unknown,Qty unknown,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48508,2021-12-15,19:30:00,Common frog,Tadpoles,unknown,Qty unknown,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48507,2021-12-15,19:30:00,Common frog,Adult,male,1,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48402,2021-11-20,13:30:00,Common toad,Young,unknown,1,Aberdeenshire,Inverugie,NK14,Considered Correct,57.45020223651853,-1.8350234263743128
48313,2003-07-01,,Red-eared slider,Adult,unknown,2,Perth and Kinross,,NN71,Considered Correct,56.2646405965388,-4.101250518523362
48303,2021-10-26,15:30:00,Palmate newt,Adult,unknown,1,Perth and Kinross,Alyth,NO24,Considered Correct,56.54515929377883,-3.3028813589374706
48302,2021-09-01,12:00:00,Adder,Adult,unknown,3,North Ayrshire,Arran,NR93,Considered Correct,55.51846018297016,-5.331046991364488
48269,2021-10-24,15:15:00,Common frog,Adult,unknown,1,Angus,,NO34,Considered Correct,56.546757364647014,-3.140223217083991
48217,2021-10-16,14:30:00,Common toad,Adult,unknown,1,Perth and Kinross,,NO13,Considered Correct,56.45353844050548,-3.4620766933756277
48216,2021-10-16,14:30:00,Common frog,Adult,unknown,1,Perth and Kinross,,NO13,Considered Correct,56.45353844050548,-3.4620766933756277
48215,2021-10-18,10:04:00,Palmate newt,Adult,unknown,1,Angus,Broughty Ferry,NO53,Considered Correct,56.459485149029966,-2.8129800390933877
48182,2021-10-14,15:00:00,Common toad,Adult,unknown,1,Glasgow City,South Side,NS56,Considered Correct,55.809908738869886,-4.396241019451688
48161,2021-10-12,21:30:00,Palmate newt,Young,unknown,1,Midlothian,Rosewell,NT26,Considered Correct,55.82658918429095,-3.278744634866987
48152,2021-10-08,16:25:00,Unknown newt,Young,unknown,2,East Lothian,,NT48,Considered Correct,56.00916390402649,-2.9639038596477856
48136,2021-10-10,15:00:00,Slow-worm,Adult,unknown,1,Perth and Kinross,Dunkeld,NO04,Considered Correct,56.54132537199252,-3.628195796943699
48086,2021-09-26,16:00:00,Palmate newt,Adult,unknown,1,Fife,Cupar,NO32,Considered Correct,56.367112579365134,-3.1348510785214416
48052,2021-10-01,13:15:00,Adder,Young,unknown,1,Aberdeenshire,,NO49,Considered Correct,56.99725415792699,-2.9893153202916434
48048,2021-10-03,,Smooth newt,Dead,unknown,2,West Dunbartonshire,Alexandria,NS48,Unable to Verify,55.98621632848043,-4.5677334300113
48032,2021-10-03,00:15:00,Common lizard,unknown,,,Dumfries and Galloway,Castle Douglas,NX76,Unable to Verify,54.91772399104493,-4.030394472286478
48003,2021-09-26,15:00:00,Slow-worm,Young,unknown,1,Dumfries and Galloway,,NX33,Considered Correct,54.636398679372526,-4.637022852591346
48002,2021-09-26,15:00:00,Slow-worm,Young,unknown,1,Dumfries and Galloway,,NX33,Considered Correct,54.636398679372526,-4.637022852591346
48000,2021-09-29,20:20:00,Common toad,unknown,,,North Ayrshire,Irvine,NS33,Considered Correct,55.53402884923348,-4.696891106885429
47999,2021-09-29,20:20:00,Common toad,Adult,unknown,1,North Ayrshire,Irvine,NS33,Considered Correct,55.53402884923348,-4.696891106885429
