"Record ID","Record date","Record time",Species,Lifestage,Sex,Quantity,County,"Nearest town/City","Grid ref","Verification state"
64582,2024-06-02,11:00:00,"Palmate newt",Young,unknown,1,"Perth and Kinross",,NN82,
64581,2024-06-02,10:20:00,"Common toad",Dead,unknown,1,"Perth and Kinross",,NN82,
64547,2021-04-01,15:44:00,"Common lizard",unknown,unknown,1,Moray,Elgin,NJ26,"Unable to Verify"
64536,2024-05-30,08:45:00,"Palmate newt",Adult,unknown,1,Stirling,Dunblane,NS89,
64529,2024-05-29,23:00:00,"Unknown frog or toad",Adult,unknown,1,"Scottish Borders",Kelso,NT72,
64520,2024-05-29,19:00:00,"Unknown newt",unknown,unknown,4,Stirling,"Balfron Station",NS58,
64375,2024-05-25,15:00:00,"Common lizard",unknown,unknown,1,Aberdeenshire,Banchory,NJ50,"Considered Correct"
64368,2024-05-25,12:00:00,"Palmate newt",Young,unknown,1,"North Lanarkshire",Millerston,NS66,
64363,2024-05-24,12:10:00,"Unknown lizard",unknown,unknown,1,"South Lanarkshire",Glasgow,NS65,
64338,2024-05-18,15:00:00,"Common lizard",Young,male,1,Aberdeenshire,Inverurie,NJ61,"Considered Correct"
64313,2024-05-21,13:11:00,Slow-worm,Young,unknown,1,"Perth and Kinross",Dunkeld,NO04,
64285,2024-05-19,00:00:00,"Common lizard",unknown,unknown,2,"Scottish Borders",Duns,NT74,
64284,2024-05-04,,Adder,Sloughs,unknown,1,"Scottish Borders",,NT74,
64283,2024-05-02,,Adder,Sloughs,unknown,5,"East Lothian",,NT66,
64282,2024-05-02,,Adder,Sloughs,unknown,3,"East Lothian",Duns,NT66,
64281,2024-05-21,14:00:00,Adder,Young,unknown,1,"Scottish Borders",,NT66,
64274,2024-05-21,13:15:00,Slow-worm,unknown,unknown,1,"West Lothian",Bathgate,NS97,
64264,2024-05-21,16:12:00,Adder,Dead,unknown,1,"Perth and Kinross",Moulin,NN95,
64259,2024-05-15,,Adder,Dead,unknown,1,Aberdeenshire,,NJ20,"Considered Correct"
64220,2024-05-18,00:00:00,,,,,Stirling,Kinlochard,NS39,
64174,2024-05-12,14:00:00,Adder,unknown,unknown,1,Aberdeenshire,,NO29,"Considered Correct"
64166,2024-05-15,22:00:00,"Common lizard",Adult,unknown,1,Falkirk,Parkhill,NS97,
64129,2024-05-15,15:00:00,"Common toad",Tadpoles,unknown,"Qty unknown","Perth and Kinross",Moulin,NN95,
64128,2024-05-15,15:00:00,"Unknown newt",Young,unknown,2,"Perth and Kinross",Moulin,NN95,
64125,2024-05-12,15:15:00,"Common lizard",unknown,unknown,1,"Perth and Kinross",,NO13,
64101,2024-05-09,22:00:00,"Smooth newt",Adult,male,1,"West Lothian",Bathgate,NS96,
64100,2024-05-09,22:00:00,"Smooth newt",Adult,female,1,"West Lothian",Bathgate,NS96,
64096,2024-05-11,18:10:00,Adder,Young,female,1,"East Lothian",,NT66,
64095,2024-05-11,18:15:00,Adder,Adult,male,4,"East Lothian",,NT66,
64094,2024-05-11,11:30:00,Adder,Young,male,3,"East Lothian",Duns,NT66,
64093,2024-05-11,11:30:00,Adder,Young,female,1,"East Lothian",Duns,NT66,
64063,2024-05-10,14:00:00,"Common frog",Spawn,unknown,1,"Perth and Kinross",,NN73,
64062,2024-05-10,13:00:00,"Common frog",Spawn,unknown,1,Stirling,,NN63,
64061,2024-05-10,11:30:00,"Common frog",Spawn,unknown,1,Stirling,,NN63,
64060,2024-05-10,11:00:00,"Common frog",Spawn,unknown,4,"Perth and Kinross",,NN63,
64059,2024-05-10,10:00:00,"Common frog",Tadpoles,unknown,"Qty unknown","Perth and Kinross",,NN72,
64058,2024-05-10,15:00:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",,NN73,
64057,2024-05-12,13:00:00,"Common lizard",Adult,unknown,1,Aberdeenshire,,NO19,"Considered Correct"
64046,2024-05-11,12:00:00,"Common lizard",unknown,unknown,1,"Perth and Kinross",,NN75,
64039,2024-05-12,18:00:00,"Common lizard",Adult,unknown,1,"Dumfries and Galloway","Newton Stewart",NX16,
64031,2024-05-12,11:45:00,"Common frog",unknown,unknown,1,"Scottish Borders",Gunsgreen,NT96,
63996,2024-05-11,11:14:00,"Common lizard",Adult,unknown,1,"East Ayrshire",,NS62,
63980,2024-05-05,15:10:00,"Unknown newt",unknown,unknown,1,"Perth and Kinross",Altamount,NO14,
63871,2024-05-01,,"Common lizard",unknown,unknown,1,"Scottish Borders",Saughtree,NT50,"Considered Correct"
63828,2024-05-05,11:00:00,Adder,Adult,female,1,Aberdeenshire,,NO49,"Considered Correct"
63827,2024-05-05,11:30:00,"Common lizard",unknown,unknown,1,Aberdeenshire,,NO49,"Considered Correct"
63797,2024-05-06,09:55:00,"Palmate newt",Young,unknown,8,"Perth and Kinross",Pitlochry,NN95,
63739,2024-05-04,22:00:00,"Smooth newt",Young,unknown,1,"City Of Edinburgh",Alnwickhill,NT26,
