C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
1.0,0.8672001,0.98425454,0.7582158,0.64782095,0.85752934,0.29896975,0.9823433,0.982288,0.115256995,0.71774966,0.27580872,0.16786577
1.0,0.82271576,0.98118234,0.58859557,0.64782095,0.9278689,0.24389577,0.96422154,0.92409,0.78824604,0.7452203,0.30258587,0.12267843
1.0,0.626067,0.98045146,0.9940081,0.64782095,0.8581832,0.2625442,0.96417725,0.9675197,0.82506096,0.8888923,0.31073964,0.12267843
1.0,0.89704686,0.98239315,0.8165284,0.58892816,0.6427712,0.5282329,0.96955943,1.0,0.34310755,0.9287237,0.35661924,0.26576778
1.0,0.7202624,0.93726766,0.9350162,0.64782095,0.9752228,0.4122641,0.90336114,0.97336185,0.8065333,0.9231024,0.2183857,0.10694805
1.0,0.9225852,0.97091913,0.9998329,0.64782095,0.8954844,0.28924084,0.9071907,0.97942114,0.67065406,0.89043844,0.22351488,0.18499787
1.0,0.9247537,0.9661296,0.6428466,0.8244994,0.9188112,0.24108106,0.938804,0.8945523,0.26805207,0.76361376,0.4205479,0.16350427
1.0,0.8933294,0.97527045,0.96980196,0.64782095,0.91567296,0.37965542,0.9307854,0.9788082,0.6160435,0.85055494,0.32934698,0.10406644
1.0,0.86376005,0.9790858,0.7183777,0.76560664,0.88324064,0.2479564,0.9515409,1.0,0.78966546,0.8635693,0.3023727,0.38572612
1.0,0.92434126,0.97088575,0.9780834,0.64782095,0.9388166,0.52000237,0.95293856,0.96720153,0.83720165,0.81471366,0.28176302,0.10406644
1.0,0.79568255,0.9861678,0.96103704,0.64782095,0.67185265,0.33535624,0.98526424,0.29193598,0.7331382,0.7512265,0.31024665,0.13008304
1.0,0.84424984,0.97489315,0.99443525,0.64782095,0.95865005,0.41152996,0.9465974,0.9721805,0.49057576,0.839244,0.23055844,0.14145194
1.0,0.82628036,0.96207416,0.9396499,0.64782095,0.88237566,0.63767874,0.89526194,0.92851895,0.7038534,0.83736277,0.27115354,0.10406644
0.8197211,0.8562069,0.7954994,0.98474914,0.058892846,0.9499147,0.34275347,0.6805281,0.99220586,0.32228923,0.7038693,0.3009897,0.237232
1.0,0.675796,0.98908883,0.8728742,0.8244994,0.39338654,0.15467793,0.920308,0.9783727,0.34888938,0.7135432,0.36699545,0.2138961
1.0,0.82036793,0.9800957,0.318641,0.64782095,0.85030323,0.38328987,0.873593,0.98350704,0.46417132,0.9247678,0.27203232,0.12556003
1.0,0.79829645,0.9936875,0.9949903,0.8244994,0.7070904,0.19585717,0.9828117,0.8991252,0.51843655,0.7759102,0.23064218,0.18211626
1.0,0.5872531,0.98952484,0.68440235,0.8244994,0.7333429,0.4242698,0.9627089,0.97629726,0.5645066,0.8293689,0.21436818,0.18211626
1.0,0.98688465,0.8568765,0.9955703,0.58892816,0.9923445,0.12614554,0.7536147,0.9255999,0.40384823,0.57770413,0.47578117,0.10406644
1.0,0.7832656,0.98464364,0.7901354,0.58892816,0.8162591,0.30370063,0.94858897,1.0,0.26088604,0.78648764,0.25080892,0.13008304
1.0,0.50583553,0.98569703,0.9482476,0.64782095,0.7410812,0.27833277,0.9754406,0.7859061,0.77839106,0.7788489,0.30233908,0.12267843
1.0,0.79087543,0.9391247,0.95018995,0.5300354,0.93791574,0.59687257,0.96976554,0.66776776,0.5529759,0.7378782,0.26497945,0.13008304
1.0,0.7488917,0.970274,0.74181604,0.64782095,0.90509427,0.45705193,0.98537385,0.98719925,0.7576196,0.8256983,0.33623448,0.13460605
1.0,0.90640885,0.9803122,0.90020275,0.8244994,0.5980649,0.3371567,0.9453507,0.92232335,0.68956923,0.81882024,0.31166407,0.115435325
1.0,0.96790284,0.96359086,0.8771733,0.64782095,0.94844484,0.7039089,0.93583685,0.93591607,0.7474351,0.8783171,0.26851487,0.08257284
1.0,0.80252635,0.98537046,0.93059695,0.64782095,0.80003947,0.33654112,0.9729373,0.9145698,0.6041089,0.75896686,0.31426963,0.15609966
1.0,0.83418626,0.9790517,0.88772213,0.76560664,0.9649185,0.35386544,0.94376063,0.99735075,0.5229858,0.8197639,0.34390095,0.280581
0.9989042,0.65931803,0.98651195,0.87017226,0.64782095,0.98663515,0.15028226,0.9230395,0.99899876,0.38931304,0.7480785,0.30036932,0.2961459
1.0,0.83220357,0.97817904,0.7826389,0.8244994,0.7846085,0.3644182,0.93133676,0.981105,0.7803265,0.8636989,0.25988466,0.16458693
1.0,0.5220043,0.98490006,0.6745533,0.8244994,0.8269067,0.3788485,0.933234,0.95139444,0.6207048,0.8102471,0.25699696,0.13296466
1.0,0.8844729,0.9758233,0.9836141,0.64782095,0.9049785,0.35364002,0.9360045,0.99176866,0.5476137,0.78444797,0.33106798,0.22333933
1.0,0.55641836,0.9849417,0.98915106,0.64782095,0.8119575,0.27315855,0.96233255,0.7863029,0.72374463,0.81364083,0.24134147,0.10406644
0.9929058,0.9718935,0.5823462,0.94216925,0.76560664,0.98113334,0.23514146,0.3658836,0.9950408,0.17405976,0.8184804,0.45258316,0.24823847
1.0,0.76967293,0.98310626,0.71674705,0.64782095,0.7526953,0.25478786,0.960861,0.93275386,0.6143708,0.7929129,0.30617315,0.13732615
1.0,0.77934325,0.9615597,0.9929301,0.58892816,0.8678912,0.14796376,0.9531606,1.0,0.5303264,0.8212098,0.31657222,0.3410975
