x,y,species cloglog values
966.0,966.0,0.13056129
967.0,967.0,0.2407642
968.0,968.0,0.50080544
969.0,969.0,0.08807234
970.0,970.0,0.6822499
971.0,971.0,0.032213062
972.0,972.0,0.28698933
973.0,973.0,0.03097273
974.0,974.0,0.9510232
975.0,975.0,0.3192968
976.0,976.0,0.2364525
977.0,977.0,0.09916588
978.0,978.0,0.20740984
979.0,979.0,0.075824484
980.0,980.0,0.027655212
981.0,981.0,0.039938062
982.0,982.0,0.086135775
983.0,983.0,0.51225233
984.0,984.0,0.030590476
985.0,985.0,0.15076247
986.0,986.0,0.04073834
987.0,987.0,0.045180168
988.0,988.0,0.03846774
989.0,989.0,0.10557131
990.0,990.0,0.6414496
991.0,991.0,0.6563536
992.0,992.0,0.17134634
993.0,993.0,0.46243513
994.0,994.0,0.2606618
995.0,995.0,0.23815188
